partner_products_id;products_id;partner_id;amount;date
1;8758385;2222455179;15500;23.03.2023
2;7750282;2222455179;12350;18.12.2023
3;7028748;2222455179;37400;07.06.2024
4;8858958;3333888520;35000;02.12.2022
5;5012543;3333888520;1250;17.05.2023
6;7750282;3333888520;1000;07.06.2024
7;8758385;3333888520;7550;01.07.2024
8;8758385;4440391035;7250;22.01.2023
9;8858958;4440391035;2500;05.07.2024
10;7028748;1111520857;59050;20.03.2023
11;7750282;1111520857;37200;12.03.2024
12;5012543;1111520857;4500;14.05.2024
13;7750282;5552431140;50000;19.09.2023
14;7028748;5552431140;670000;10.11.2023
15;8758385;5552431140;35000;15.04.2024
16;8858958;5552431140;25000;12.06.2024
